證券代碼,股票簡稱,上市板,所屬行業,最近收盤股價,流通股份,市值(百萬),Q4sales,Q3sales,Q4NI,Q3NI,corr,corr1,predict112Sales,predict112NI,predict112EPS,Div,EPS,corr,predict112Div,預估年度殖利率(%),預估配發股利總金額(百萬),預估殖利率5%股價
1301.TW,台塑,上市,塑膠工業,56.5,6365740032,359664.311808,"[207848572.0, 185813405.0, 273598301.0, 251647354.0]","[159296860.0, 131178144.0, 199191244.0, 200581272.0]","[37324162.0, 20036199.0, 71355311.0, 36142868.0]","[34173682.0, 9326462.0, 54505761.0, 43536106.0]",0.9641315596592825,0.8753024433328058,205387413.24164328,16542634.927668028,2.5986978488769092,"[4.4, 2.4, 8.2, 4.2]","[5.86, 3.15, 11.21, 5.68]",0.9999245621996422,2.0122088043543664,3.561%,12809.198138621447,40.244176087087325
1303.TW,南亞,上市,塑膠工業,48.0,7930820096,380679.364608,"[286303059.0, 273353806.0, 411670391.0, 355183300.0]","[214657229.0, 193972294.0, 303626893.0, 279412580.0]","[23076123.0, 25709049.0, 81295023.0, 32108977.0]","[18926725.0, 13529785.0, 63832427.0, 32770161.0]",0.9818663946050883,0.9662753015987495,269499177.52666545,9877450.869919436,1.245451384643215,"[2.2, 2.4, 7.5, 3.0]","[2.91, 3.24, 10.25, 4.05]",0.9999787831300758,0.972338663425545,2.026%,7711.443012013092,19.4467732685109
1304.TW,台聚,上市,塑膠工業,15.6,1072300032,16727.8804992,"[55656741.0, 50201273.0, 71755542.0, 66437122.0]","[41985100.0, 34627203.0, 52404697.0, 51288048.0]","[1281364.0, 2409778.0, 5191394.0, 1555097.0]","[997873.0, 1112599.0, 3600486.0, 1063023.0]",0.9773458488216905,0.9717757776828543,54544925.448760666,517188.1174500518,0.4823166110378815,"[0.5, 1.0, 2.2, 0.7]","[1.19, 2.25, 4.84, 1.45]",0.9989338304965114,0.21009533577772216,1.347%,225.2852352775022,4.2019067155544425
1305.TW,華夏,上市,塑膠工業,16.85,581049984,9790.692230400002,"[15117855.0, 13733148.0, 20221524.0, 17637479.0]","[11407164.0, 9140578.0, 15099697.0, 14130620.0]","[642677.0, 1634184.0, 2468676.0, -370247.0]","[403908.0, 613469.0, 1868124.0, -317894.0]",0.9646263819290127,0.9493158417905614,14674800.30937845,758548.4888451668,1.3054788912018398,"[0.5, 1.8, 2.5, 0.3]","[1.22, 2.95, 4.25, -0.64]",0.9587931685863597,0.9709286482456477,5.762%,564.1580755282753,19.418572964912954
1307.TW,三芳,上市,塑膠工業,29.8,397817984,11854.975923200001,"[10271411.0, 8441756.0, 8384007.0, 10763499.0]","[7737016.0, 6175092.0, 6268565.0, 8382900.0]","[430420.0, 218012.0, 115933.0, 470114.0]","[343594.0, 124204.0, 95734.0, 452490.0]",0.995370817356746,0.9709500159003943,10059868.842970107,697466.6847177241,1.7532306551473653,"[0.8, 0.5, 0.5, 0.8]","[1.08, 0.55, 0.29, 1.18]",0.9636036311696399,1.0337965178603588,3.469%,411.2628466014279,20.675930357207175
1308.TW,亞聚,上市,塑膠工業,17.6,593742976,10449.8763776,"[6791157.0, 5703546.0, 9565813.0, 9815332.0]","[5040677.0, 3985252.0, 6651233.0, 7311466.0]","[821021.0, 1103587.0, 3101127.0, 1447369.0]","[546801.0, 559628.0, 2158827.0, 1145445.0]",0.9889947103158836,0.9831727626817054,7026270.203987961,511489.3160162835,0.8614658811833819,"[0.6, 1.2, 3.0, 1.2]","[1.48, 1.9, 5.22, 2.44]",0.9882599916602512,0.3437900514098514,1.953%,204.12292824327818,6.875801028197028
1309.TW,台達化,上市,塑膠工業,17.5,397587008,6957.77264,"[17672204.0, 15498381.0, 20771165.0, 18083799.0]","[13464687.0, 10667664.0, 15461449.0, 14239420.0]","[397977.0, 1919818.0, 1849932.0, 412078.0]","[315362.0, 1129008.0, 1399688.0, 454612.0]",0.9537999670806873,0.9644393030631125,15657022.827663852,-408550.5461256001,-1.0275751921088934,"[0.3, 2.0, 2.0, 0.5]","[1.19, 5.58, 4.89, 1.04]",0.9866310131319401,0.0,0.000%,0.0,0.0
1310.TW,台苯,上市,塑膠工業,13.45,527870016,7099.8517151999995,"[12219389.0, 8113225.0, 11714016.0, 12853960.0]","[9460217.0, 5559443.0, 8856418.0, 10398523.0]","[882065.0, 287516.0, 104604.0, -373905.0]","[848061.0, -155504.0, 341165.0, -227866.0]",0.9962574872603959,0.8257292843171216,9590711.822273158,-203633.231628595,-0.38576396737145796,"[1.0, 0.5, 0.15, 0.2]","[1.67, 0.55, 0.2, -0.71]",0.9046639741141145,0.17070106490949974,1.269%,90.10797386499466,3.4140212981899944
1312.TW,國喬,上市,塑膠工業,14.25,1106620032,15769.335456,"[20468229.0, 16575784.0, 22547353.0, 18176626.0]","[15574932.0, 11469482.0, 16817034.0, 14235914.0]","[2070125.0, 4108803.0, 5881161.0, -493812.0]","[1775179.0, 2131793.0, 5044741.0, -207133.0]",0.9627411700733713,0.9497398895343228,16652392.217815727,-972878.4714439414,-0.8791440994300936,"[0.0, 0.1, 2.0, 0.5]","[2.27, 4.52, 6.47, -0.56]",0.5784245069532252,0.7849500889024613,5.508%,868.6414924996446,15.699001778049226
1313.TW,聯成,上市,塑膠工業,12.4,1326290048,16445.996595200002,"[62714942.0, 51866839.0, 81942428.0, 72819643.0]","[47022441.0, 35051896.0, 60094158.0, 56280900.0]","[-140376.0, 2134320.0, 2147462.0, -1236224.0]","[-62078.0, 863733.0, 3022451.0, -822822.0]",0.9844020289215922,0.8490965298218458,71605182.82866415,-962.2188792335073,-0.0007254965689326406,"[0.2, 1.0, 1.0, 0.2]","[-0.11, 1.62, 1.66, -0.94]",0.9650883823106909,0.40787851702047384,3.289%,540.965217917253,8.157570340409476
